...1,census_tract_number,total_population,california_county,children_10_percent,pop_11_64_years_percent,elderly_65_percent,hispanic_percent,white_percent,african_american_percent,native_american_percent,asian_american_percent,other_percent,zip,nearby_city,ces_3_0_score,sb_535_disadvantaged_community,ozone,pm2_5,diesel_pm,drinking_water,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score
1165,6099001100,3899,Stanislaus,13.4,70.8,15.8,28.6,57.8,4.8,0.8,3.8,4.1,95350,Modesto,46.68,Yes,0.053,12.89,19.841,826.14,1.97,941.9759377,638.84,12,46.3,0,0,0,55.3,6.81,86.18,4.66,11.13,19.7,2.9,46.7,12.8,24.8,66.09,6.85
4449,6059099605,3690,Orange,10.7,73.7,15.6,15.8,61.6,0.7,0.2,18,3.7,92647,Huntington Beach,21.51,No,0.044,11.21,11.795,238.5,0,12660.09965,1079.57,2.75,41.25,0.3,0,0.4,44.96,5.54,35.69,4.44,7.81,2.9,3.3,15.2,11.8,18.9,37.46,3.88
7131,6079011001,5314,San Luis Obispo,9.1,71.8,19.1,16.2,75,0.9,0.2,5.1,2.6,93401,San Luis Obispo,6.69,No,0.035,7.62413614,4.334,429.67,0.08,9.221313528,565.11,0,3,0.025,0,0.5,18.23,2.25,30.83,4.68,5.55,6.4,4.2,29.9,4.5,13.6,28.71,2.98
4401,6065043254,5011,Riverside,13.2,79.3,7.5,30.1,56.1,2.9,1,7,2.9,92590,Temecula,21.84,No,0.055,6.18286598,5.622,986.43,0.21,112.5336643,1236.67,0,2,0.05,9,7,44.84,5.52,22.67,5.53,8.12,10,0.9,18.8,10.3,15.5,38.12,3.95
5448,6067009307,5241,Sacramento,12.1,76.6,11.3,16.1,59.8,5.7,0.8,12.8,4.8,95624,Elk Grove,16.43,No,0.048,9.53630303,12.31,271.53,0,36.82947364,489.74,0,3,0,2,2,26.93,3.32,46.89,6.46,9.71,5.6,2.3,22.2,6,15.9,47.76,4.95
3196,6029000800,4925,Kern,16.2,72,11.8,57.7,34.7,2.7,0.9,1.7,2.4,93305,Bakersfield,29.5,No,0.062,18.76,29.335,593.77,0,15.97093348,253.04,0,0,0.01,0,0,34.66,4.27,96.41,5.12,10.96,10.7,4.2,45.1,21.8,17.1,66.63,6.91
5830,6095252107,3592,Solano,10.8,75.5,13.7,12.8,66.8,5.6,0.4,9,5.3,94510,Benicia,14.47,No,0.035,7.85958451,12.93,198.69,0,2836.922483,512.04,9.5,19.5,2.025,0,1.25,35.65,4.39,58.36,4.08,8.57,1.2,1.1,9.8,6.2,12.8,31.78,3.3
2302,6037408402,5799,Los Angeles,10,72.5,17.5,55.5,21.8,1.1,0.1,20.1,1.5,91745,Hacienda Heights,36.2,No,0.048,12.05,13.436,781.06,3.45,16225.51209,2523.62,7,2.7,5.06,6,1.5,66.74,8.22,46.47,2.96,9.87,14.1,12,20.7,9.3,8.3,42.47,4.4
1788,6037212701,2430,Los Angeles,9,73.3,17.7,29.5,8,5.4,0,55.4,1.6,90019,Los Angeles,40.66,Yes,0.048,12.89,29.76,664.07,0,2590.63168,1394.13,0.25,5.3,0.1,0,0,50.05,6.16,47.36,6.47,6.38,22.4,29.6,49.4,9.3,24.7,63.6,6.6
5946,6071002031,6281,San Bernardino,12.6,82,5.4,30.1,41.4,8.4,0.2,16.4,3.6,91701,Rancho Cucamonga,13.85,No,0.065,12.89,21.786,510.06,0,3890.597946,1318.5,0,0,0,0,0,44.48,5.48,26.39,4.35,7.79,2.5,5.5,10.2,5.5,6.7,24.38,2.53
3697,6053001400,2680,Monterey,13.3,76.1,10.6,47.9,41.5,1.6,0.5,4.1,4.3,93901,Salinas,26.05,No,0.033,5.34450672,25.04,451.51,479.4,0.730490063,605.31,2.25,9.25,0.035,13,0,38.12,4.7,108.24,5.05,9.44,14.9,4,30.8,5.8,13.2,53.5,5.55
586,6013365002,5462,Contra Costa,18.8,76,5.2,54,3.1,30.9,0.2,8.7,3.1,94801,Richmond,54,Yes,0.03,7.85958451,29.382,70.6,0.22,952.4543027,302.07,110.4,45.25,14.6,12,18.2,52.1,6.42,195.32,5.19,10.48,32.2,18.2,60.1,16,29.2,81.14,8.42
2507,6071010014,4800,San Bernardino,20.8,73.2,6,66.1,23.6,6.5,0.5,1.4,2,92345,Hesperia,34.59,No,0.065,7.44040487,10.551,693.31,0,181.8497425,575.58,0,0,0.075,0,4.25,34.73,4.28,69.09,6.25,12.69,33.5,4.7,73.9,15.1,21.9,77.96,8.09
